"Year","3-1-1 Calls Received","3-1-1 Contacts Excluding Calls","3-1-1 Average Caller Wait Time (seconds)","Annual Business Tax Renewal E-Filings","Animals Adopted","Animals Euthanized","Dog Licenses Issued","Building Permits Issued","Structure Fires","Non-Structure Fires","Fire Responses (including automatic alarms)","Hazardous Condition Responses","Rescues and Other Responses","Average Travel Time to Fire Incidents (seconds)","Average Time to Leave Station After Notified (seconds)","Total Crimes Reported","Total Arrests","Average Emergency Call Response Time (seconds)","Fatal and Injury Traffic Accidents","Traffic Citations Issued","Graffiti Eradicated (square feet)","Percent of Graffiti Removal Requests Completed in 72 Hours","Streets Resurfaced (lane miles)","Streets Slurry Sealed (lane miles)","Sidewalks Repaired (square feet)","Trees Trimmed by Contractors","Small Asphalt (Pothole) Repairs (square feet)","Trash Collected (tons)","Yard Trimmings Collected (tons)","Recyclables Collected (tons)","Bulky Items Collected (tons)","Parking Citations Written","Crossing Guard Assignments","Community DASH Bus Transit Riders (per hour)","Speed Humps/Tables Constructed","Traffic Signals Repaired","New Signals (Traffic and Pedestrian) Installed","Delegates Attending Citywide Conventions","Art Exhibitions and Gallery Programs Presented","Art Class Enrollment","Library Visitors","Library Cardholders","Cultural Programming Attendance","Library Materials Checked Out","Griffith Observatory Visitors","City-Owned Museum Visitors (excluding Griffith Observatory)","Pool Visitors","Camper Attendance Days","Team Sports Participants","Recreational Classes and Programs","Zoo Visitors","Congregate Senior Meals Served","Homebound Senior Meals Served","WIOA-Funded Adults Placed in Jobs","HireLA Youth Placed in Jobs","Affordable Housing Units Monitored","Housing Units Contacted at Risk of Losing Affordability Restrictions","Airport Passengers (millions)","Air Cargo Tonnage (millions)","Harbor Inbound Tonnage (millions)","Harbor Outbound Tonnage (millions)","Port Vessel Arrivals","Cruise Passengers","DWP Kilowatt Hours of Power Sold (billions)","DWP Power Customers (millions)","DWP Renewable Power Sales (% of overall energy sales) (FY10-18)","DWP Power Sourced from Coal (% of overall power supply) (FY10-18)","DWP Gallons of Water Sold (billions)","DWP Water Customers (thousands)","Water Use (gallons per person per day)","Water Main Breaks"
"2019","1,179,694","600,104","174","311,931","35,543","6,497","124,474","177,972","4,012","17,016","133,401","3,225","31,771","262.8","52.8","219,223","86,696","357","25,368","200,439","25,319,000","77","720","1,546","313,648","31,693","908,679","942,041","411,188","210,944","54,238","2,086,277","538","31","235","735","32","362,442","2,852","228,646","10,214,070","2,338,648","349,820","17,153,200","1,532,916","456,335","2,764,705","63,060","55,570","156,897","1,803,699","624,406","707,325","13,751","17,648","43,275","1,285","87.9","2.4","114","97","1,917","586,786","23","1.53",,,"146","687","105","1,495"
"2018","898,435","486,394","294","299,455","34,811","7,015","120,669","177,783","4,002","17,521","91,492","3,103","28,558","269.4","54","228,022","96,003","337.2","25,387","216,673","28,096,000","88","660","1,739","329,410","31,844","820,592","928,377","414,729","207,756","53,766","2,237,086","537","31","164","626","32","440,634","1,371","185,546","11,198,977","2,120,032","402,881","16,142,466","1,628,315","493,822","2,592,208","73,929","75,306","155,163","1,802,387","666,705","721,423","12,973","16,834","41,812","82","86.6","2.42","103","88","1,904","479,388","23","1.52","32","18","154","683","112","1,450"
"2017","1,057,107","426,928","370","280,159","32,920","8,425","130,242","164,890","4,449","13,971","140,933","4,101","35,366","265.8","55.8","225,820","99,011","369","25,259","219,911","32,388,000","89","848","1,560","309,343","36,036","1,513,764","953,670","417,354","224,796","91,225","2,302,206","529","41","0","725","19","503,036","692","182,078","13,145,751","1,665,288","417,831","16,276,897","1,565,700","535,255","2,430,377","70,654","81,572","145,000","1,743,795","681,524","725,079","12,500","15,500","42,757","1,364","84.3","2.51","106","92","2,060","534,484","24","1.51","30","18","147","680","102","1,390"
"2016","1,193,757","287,428","142","263,870","31,100","10,931","131,959","156,942","4,430","13,137","132,546","5,238","44,604","255.6","60","223,158","126,434","366","24,399","234,311","27,545,000","71","855","1,555","118,732","33,850","1,121,767","907,611","417,325","216,542","60,101","2,395,778","523","41","0","766","31","496,886","655","121,356","13,504,301","1,411,764","368,339","16,353,158","1,417,282","585,230","2,962,513","65,283","86,806","200,000","1,784,786","697,731","737,256","14,363","15,070","40,218","3,441","82","2.66","106","79","2,014","676,644","25","1.5","29","19","149","678","104","1,547"
"2015","1,166,105","172,725","61","251,449","32,826","14,083","120,975","141,445","4,562","12,917","127,380","4,190","34,331","244.2","69","206,947","125,567","336","24,974","336,683","30,620,000","78","855","1,545",,"23,142","1,050,411","873,104","425,070","209,924","46,416","2,489,390","524","38","0","10,797","11","320,900","1,082","212,506","14,093,505","1,236,890","371,810","15,800,499","1,264,376","472,044","2,648,817","66,626","83,045","200,951","1,752,279","726,873","739,957","4,248","11,382","46,041","842","76.2","2.59","103","75","1,846","578,902","25","1.49","21","37","162","676","114","1,241"
"2014","1,083,097","109,609","70","232,667","32,910","15,028","123,008","133,573","4,698","12,069","133,080","4,949","40,268","250.8","73.2","191,753","130,262","390","21,026","447,062","32,638,000","84",,,,"14,847","1,402,144","852,635","428,237","198,143","33,720","2,659,718","507","41","0","8,832","19","299,274",,"15,000","14,584,162","1,148,250","355,211","15,086,605","1,155,104","429,085","2,951,899","62,427","90,815","134,142","1,550,343","711,895","755,480","1,386","10,256","25,061","344","72.8","2.39","99","74.3","2,196","541,418","26","1.5","20","40","177","679","123","1,146"
"2013","1,062,894","127,211","224","216,140","32,440","17,063","126,234","126,426","4,624","10,836","121,381","4,734","40,822","246","72","188,030","150,552","360","20,996","428,178","26,117,000","77",,,,"19,607","1,416,500","848,890","522,737","150,380","34,000","2,654,910","492","43","0","8,769","32","215,800",,"14,000","14,096,741","1,099,165","531,498","14,983,679","1,033,429","310,000","3,255,404","55,624","101,916",,"1,506,274","768,560","768,536",,,"21,578",,"69","2.4","93","72","2,089","355,875","26","1.48","21","42","178","676","131","1,148"
"2012","1,211,000",,"170","200,000","30,414","23,955","123,060","121,140","4,871","10,991","122,492","4,852","39,324",,,"190,542","162,698","360","21,216","504,312","30,094,000","80",,,,"12,720","1,206,612","851,434","470,527","143,338","27,640","2,522,302","492","39","38","8,832","105","291,700",,"13,500","13,821,289","1,076,578","332,937","15,337,032","969,479","325,000","2,696,366","56,204","94,141",,"1,660,450","834,063","756,462",,,"20,226",,"67","2.37","98","75","2,100","515,827","25","1.47","20","33","170","674","123","1,319"
"2011","1,341,000",,"180","182,801","29,525","24,632","121,817","115,699","4,172","10,686","118,986","5,209","37,834",,,"181,078","160,480","360","18,448","564,432","35,696,000","80",,,,"11,240","1,190,244","882,005","492,341","148,194","32,479","2,461,529","486","48",,,,"363,000",,"13,000","12,673,629","1,300,000","301,387","16,000,000","909,668",,"2,635,207","18,900","72,502",,"1,543,232","844,074","781,553",,,"20,684",,"65","2.3","94","68","2,236","667,434","25","1.46","19","41","169","667","122","1,237"
"2010","1,417,801",,"140","146,713","26,952","25,298","116,500","115,225","3,734","11,640","114,121","4,636","38,247",,,"188,152","151,174","420","20,408","594,193","32,771,000","82",,,,"23,181","1,448,820","867,113","474,657","141,314","33,330","2,587,925","486","46",,,,"167,160",,"15,000","16,041,407","1,375,000","283,000","17,300,000","902,489",,"3,296,327","34,060","75,500",,"1,459,080","845,797","809,649",,,"15,121",,"63","2.24","88","67","2,124","802,899","26","1.45","20","39","166","659","125","1,453"
