"category","gender","council_district","calendar_year","value"
"Demographics","All","1",,"3,475,051.2"
"Demographics","Female","1",,"1,028,068.8"
"Demographics","Male","1",,"1,160,519.6"
"Demographics","All","10",,"3,640,213.2"
"Demographics","Female","10",,"1,176,527.9"
"Demographics","Male","10",,"1,153,318.8"
"Demographics","All","11",,"4,391,634.6"
"Demographics","Female","11",,"1,374,178.5"
"Demographics","Male","11",,"1,386,807.6"
"Demographics","All","12",,"3,993,283.1"
"Demographics","Female","12",,"1,325,792.5"
"Demographics","Male","12",,"1,298,757.4"
"Demographics","All","13",,"3,841,584.1"
"Demographics","Female","13",,"1,144,493.3"
"Demographics","Male","13",,"1,307,519.2"
"Demographics","All","14",,"3,430,228.5"
"Demographics","Female","14",,"1,007,567.7"
"Demographics","Male","14",,"1,166,908.1"
"Demographics","All","15",,"3,652,371.6"
"Demographics","Female","15",,"1,203,262.4"
"Demographics","Male","15",,"1,195,659.2"
"Demographics","All","2",,"3,824,644.2"
"Demographics","Female","2",,"1,198,548.2"
"Demographics","Male","2",,"1,223,779.8"
"Demographics","All","3",,"3,826,123.6"
"Demographics","Female","3",,"1,199,383.1"
"Demographics","Male","3",,"1,228,656.1"
"Demographics","All","4",,"4,041,177.7"
"Demographics","Female","4",,"1,197,391.5"
"Demographics","Male","4",,"1,279,838.8"
"Demographics","All","5",,"3,957,505.1"
"Demographics","Female","5",,"1,268,015.7"
"Demographics","Male","5",,"1,210,067.3"
"Demographics","All","6",,"3,758,086.5"
"Demographics","Female","6",,"1,192,012.7"
"Demographics","Male","6",,"1,267,348.5"
"Demographics","All","7",,"3,670,236.4"
"Demographics","Female","7",,"1,189,892.7"
"Demographics","Male","7",,"1,204,507.2"
"Demographics","All","8",,"3,307,844"
"Demographics","Female","8",,"1,129,524.6"
"Demographics","Male","8",,"1,018,061.9"
"Demographics","All","9",,"3,373,011.2"
"Demographics","Female","9",,"1,090,197.4"
"Demographics","Male","9",,"1,131,704.6"
